dataset_id,date,value,sector,location
1,2024-01-01,807.1,industrial,Georgia
2,2024-01-02,628.3,commercial,Illinois
3,2024-01-03,875.7,industrial,New York
4,2024-01-04,974.8,industrial,New York
5,2024-01-05,911.4,industrial,Georgia
6,2024-01-06,679.3,commercial,Texas
7,2024-01-07,633.0,commercial,Texas
8,2024-01-08,938.5,industrial,Ohio
9,2024-01-09,967.5,industrial,Texas
10,2024-01-10,887.7,industrial,Illinois
11,2024-01-11,917.2,industrial,Georgia
12,2024-01-12,956.5,industrial,Texas
13,2024-01-13,929.1,industrial,Florida
14,2024-01-14,621.8,commercial,California
15,2024-01-15,954.9,industrial,Florida
16,2024-01-16,392.0,residential,Ohio
17,2024-01-17,639.7,commercial,Georgia
18,2024-01-18,828.2,industrial,Ohio
19,2024-01-19,443.1,residential,Florida
20,2024-01-20,686.5,commercial,Georgia
21,2024-01-21,686.7,commercial,Florida
22,2024-01-22,576.8,commercial,Texas
23,2024-01-23,916.5,industrial,California
24,2024-01-24,949.4,industrial,New York
25,2024-01-25,435.0,residential,Florida
26,2024-01-26,683.3,commercial,New York
27,2024-01-27,938.4,industrial,Texas
28,2024-01-28,528.8,commercial,California
29,2024-01-29,723.7,commercial,Florida
30,2024-01-30,815.3,industrial,Ohio
31,2024-01-31,425.2,residential,Ohio
32,2024-02-01,394.6,residential,California
33,2024-02-02,582.4,commercial,Florida
34,2024-02-03,879.2,industrial,Illinois
35,2024-02-04,457.4,residential,Georgia
36,2024-02-05,660.9,commercial,New York
37,2024-02-06,461.9,residential,California
38,2024-02-07,758.6,commercial,Georgia
39,2024-02-08,649.3,commercial,New York
40,2024-02-09,733.6,commercial,Ohio
41,2024-02-10,636.0,commercial,Ohio
42,2024-02-11,624.8,commercial,Illinois
43,2024-02-12,360.8,residential,California
44,2024-02-13,344.7,residential,Ohio
45,2024-02-14,837.0,industrial,California
46,2024-02-15,700.0,commercial,California
47,2024-02-16,372.8,residential,New York
48,2024-02-17,423.7,residential,New York
49,2024-02-18,835.8,industrial,Ohio
50,2024-02-19,380.1,residential,Ohio
51,2024-02-20,470.2,residential,Florida
52,2024-02-21,368.4,residential,California
53,2024-02-22,820.6,industrial,Ohio
54,2024-02-23,915.7,industrial,Illinois
55,2024-02-24,883.1,industrial,Ohio
56,2024-02-25,844.2,industrial,Texas
57,2024-02-26,356.2,residential,Illinois
58,2024-02-27,971.6,industrial,Georgia
59,2024-02-28,890.0,industrial,Ohio
60,2024-02-29,380.0,residential,Georgia
61,2024-03-01,475.0,residential,Georgia
62,2024-03-02,340.4,residential,New York
63,2024-03-03,881.9,industrial,Florida
64,2024-03-04,652.0,commercial,Illinois
65,2024-03-05,655.7,commercial,Ohio
66,2024-03-06,618.4,commercial,Ohio
67,2024-03-07,488.4,residential,Georgia
68,2024-03-08,988.7,industrial,Ohio
69,2024-03-09,882.8,industrial,California
70,2024-03-10,858.3,industrial,Illinois
71,2024-03-11,977.8,industrial,California
72,2024-03-12,959.8,industrial,Texas
73,2024-03-13,796.2,commercial,Ohio
74,2024-03-14,429.0,residential,California
75,2024-03-15,961.3,industrial,Ohio
76,2024-03-16,371.3,residential,Georgia
77,2024-03-17,949.9,industrial,Ohio
78,2024-03-18,899.0,industrial,Ohio
79,2024-03-19,929.1,industrial,Georgia
80,2024-03-20,396.3,residential,Florida
81,2024-03-21,589.1,commercial,New York
82,2024-03-22,689.7,commercial,Florida
83,2024-03-23,657.4,commercial,Georgia
84,2024-03-24,496.2,residential,Florida
85,2024-03-25,662.8,commercial,Texas
86,2024-03-26,446.5,residential,Ohio
87,2024-03-27,912.5,industrial,Georgia
88,2024-03-28,351.2,residential,Illinois
89,2024-03-29,652.0,commercial,New York
90,2024-03-30,625.5,commercial,New York
91,2024-03-31,665.5,commercial,New York
92,2024-04-01,678.8,commercial,Georgia
93,2024-04-02,649.8,commercial,California
94,2024-04-03,1092.8,industrial,California
95,2024-04-04,916.3,industrial,Texas
96,2024-04-05,643.5,commercial,Ohio
97,2024-04-06,848.9,industrial,California
98,2024-04-07,581.2,commercial,Florida
99,2024-04-08,678.7,commercial,Illinois
100,2024-04-09,880.7,industrial,Florida
101,2024-04-10,628.1,commercial,Ohio
102,2024-04-11,416.9,residential,Florida
103,2024-04-12,678.9,commercial,California
104,2024-04-13,708.8,commercial,Florida
105,2024-04-14,903.0,industrial,Ohio
106,2024-04-15,436.2,residential,Illinois
107,2024-04-16,664.3,commercial,Illinois
108,2024-04-17,729.0,commercial,Ohio
109,2024-04-18,467.1,residential,New York
110,2024-04-19,955.5,industrial,Texas
111,2024-04-20,919.8,industrial,Texas
112,2024-04-21,886.2,industrial,Texas
113,2024-04-22,955.8,industrial,Texas
114,2024-04-23,898.5,industrial,Illinois
115,2024-04-24,922.0,industrial,Ohio
116,2024-04-25,917.5,industrial,New York
117,2024-04-26,430.2,residential,Georgia
118,2024-04-27,535.6,commercial,Illinois
119,2024-04-28,409.7,residential,Texas
120,2024-04-29,809.5,industrial,Ohio
121,2024-04-30,970.8,industrial,California
122,2024-05-01,647.9,commercial,New York
123,2024-05-02,685.9,commercial,Ohio
124,2024-05-03,630.9,commercial,Florida
125,2024-05-04,669.7,commercial,Georgia
126,2024-05-05,836.2,industrial,California
127,2024-05-06,569.9,commercial,New York
128,2024-05-07,690.0,commercial,Ohio
129,2024-05-08,485.7,residential,Illinois
130,2024-05-09,390.9,residential,California
131,2024-05-10,460.5,commercial,Florida
132,2024-05-11,513.2,residential,New York
133,2024-05-12,856.3,industrial,Texas
134,2024-05-13,798.2,industrial,New York
135,2024-05-14,392.4,residential,New York
136,2024-05-15,569.8,commercial,Florida
137,2024-05-16,320.0,residential,Texas
138,2024-05-17,555.2,commercial,Florida
139,2024-05-18,384.7,residential,New York
140,2024-05-19,814.5,industrial,California
141,2024-05-20,872.3,industrial,Illinois
142,2024-05-21,884.2,industrial,Georgia
143,2024-05-22,807.1,industrial,Georgia
144,2024-05-23,912.9,industrial,California
145,2024-05-24,430.7,residential,Georgia
146,2024-05-25,973.5,industrial,Georgia
147,2024-05-26,951.7,industrial,Illinois
148,2024-05-27,651.3,commercial,Illinois
149,2024-05-28,715.3,commercial,Ohio
150,2024-05-29,820.0,industrial,New York
151,2024-05-30,672.1,commercial,Florida
152,2024-05-31,342.9,residential,Illinois
153,2024-06-01,648.0,commercial,Florida
154,2024-06-02,387.1,residential,Georgia
155,2024-06-03,441.9,residential,Florida
156,2024-06-04,672.2,commercial,Ohio
157,2024-06-05,416.1,residential,New York
158,2024-06-06,933.4,industrial,Florida
159,2024-06-07,922.8,industrial,New York
160,2024-06-08,900.4,industrial,Florida
161,2024-06-09,782.2,commercial,Georgia
162,2024-06-10,930.4,industrial,Georgia
163,2024-06-11,851.5,industrial,Texas
164,2024-06-12,420.0,residential,California
165,2024-06-13,489.4,residential,Georgia
166,2024-06-14,415.9,residential,Florida
167,2024-06-15,442.0,residential,Georgia
168,2024-06-16,973.5,industrial,Georgia
169,2024-06-17,407.0,residential,California
170,2024-06-18,879.6,industrial,Texas
171,2024-06-19,308.9,residential,New York
172,2024-06-20,318.5,residential,Ohio
173,2024-06-21,322.0,residential,Texas
174,2024-06-22,236.9,residential,Ohio
175,2024-06-23,419.5,residential,Illinois
176,2024-06-24,866.0,industrial,New York
177,2024-06-25,425.7,residential,Ohio
178,2024-06-26,381.2,residential,Ohio
179,2024-06-27,994.7,industrial,Texas
180,2024-06-28,983.6,industrial,California
181,2024-06-29,843.2,industrial,Texas
182,2024-06-30,834.4,industrial,Florida
183,2024-07-01,921.1,industrial,New York
184,2024-07-02,611.0,commercial,Texas
185,2024-07-03,969.3,industrial,Georgia
186,2024-07-04,410.1,residential,Texas
187,2024-07-05,412.8,residential,California
188,2024-07-06,870.9,industrial,Texas
189,2024-07-07,729.4,commercial,California
190,2024-07-08,533.0,commercial,California
191,2024-07-09,573.6,commercial,Illinois
192,2024-07-10,936.4,industrial,Florida
193,2024-07-11,436.5,residential,Illinois
194,2024-07-12,595.7,commercial,Georgia
195,2024-07-13,647.1,commercial,New York
196,2024-07-14,737.6,industrial,Texas
197,2024-07-15,437.3,residential,Texas
198,2024-07-16,667.9,commercial,Georgia
199,2024-07-17,375.2,residential,Georgia
200,2024-07-18,830.5,industrial,New York
201,2024-07-19,635.1,commercial,Florida
202,2024-07-20,589.5,commercial,California
203,2024-07-21,1048.2,industrial,New York
204,2024-07-22,871.2,industrial,Ohio
205,2024-07-23,643.1,commercial,New York
206,2024-07-24,855.8,industrial,Illinois
207,2024-07-25,611.4,commercial,Texas
208,2024-07-26,414.7,residential,Illinois
