dataset_id,date,value,sector,location
1,2024-01-01,430.5,residential,Illinois
1,2024-01-02,409.88,residential,Illinois
1,2024-01-03,207.34,residential,Illinois
1,2024-01-04,491.11,residential,Illinois
1,2024-01-05,161.55,residential,Illinois
1,2024-01-06,268.88,residential,Illinois
1,2024-01-07,449.28,residential,Illinois
1,2024-01-08,380.45,residential,Illinois
1,2024-01-09,520.67,residential,Illinois
1,2024-01-10,315.22,residential,Illinois
1,2024-01-11,455.89,residential,Illinois
1,2024-01-12,298.34,residential,Illinois
1,2024-01-13,412.56,residential,Illinois
1,2024-01-14,506.78,residential,Illinois
1,2024-01-15,289.12,residential,Illinois
2,2024-01-01,850.5,commercial,Texas
2,2024-01-02,920.75,commercial,Texas
2,2024-01-03,780.34,commercial,Texas
2,2024-01-04,1050.22,commercial,Texas
2,2024-01-05,920.45,commercial,Texas
2,2024-01-06,1100.89,commercial,Texas
2,2024-01-07,850.67,commercial,Texas
2,2024-01-08,950.34,commercial,Texas
2,2024-01-09,1200.56,commercial,Texas
2,2024-01-10,880.12,commercial,Texas
2,2024-01-11,1050.78,commercial,Texas
2,2024-01-12,920.45,commercial,Texas
2,2024-01-13,1100.33,commercial,Texas
2,2024-01-14,980.67,commercial,Texas
2,2024-01-15,1050.22,commercial,Texas
3,2024-01-01,2150.5,industrial,California
3,2024-01-02,2320.75,industrial,California
3,2024-01-03,1980.34,industrial,California
3,2024-01-04,2450.22,industrial,California
3,2024-01-05,2120.45,industrial,California
3,2024-01-06,2580.89,industrial,California
3,2024-01-07,2250.67,industrial,California
3,2024-01-08,2350.34,industrial,California
3,2024-01-09,2700.56,industrial,California
3,2024-01-10,2180.12,industrial,California
3,2024-01-11,2450.78,industrial,California
3,2024-01-12,2320.45,industrial,California
3,2024-01-13,2500.33,industrial,California
3,2024-01-14,2280.67,industrial,California
3,2024-01-15,2450.22,industrial,California
