dataset_id,date,value,sector,location
50,2024-01-01,419.87,residential,Hyderabad
50,2024-01-02,606.59,commercial,Chennai
50,2024-01-03,949.69,industrial,Mumbai
50,2024-01-04,495.47,residential,Hyderabad
50,2024-01-05,634.67,commercial,Chennai
50,2024-01-06,942.53,industrial,Mumbai
50,2024-01-07,521.03,residential,Hyderabad
50,2024-01-08,692.44,commercial,Chennai
50,2024-01-09,944.67,industrial,Mumbai
50,2024-01-10,484.69,residential,Hyderabad
50,2024-01-11,641.89,commercial,Chennai
50,2024-01-12,937.35,industrial,Mumbai
50,2024-01-13,459.58,residential,Hyderabad
50,2024-01-14,566.0,commercial,Chennai
50,2024-01-15,865.27,industrial,Mumbai
50,2024-01-16,403.04,residential,Hyderabad
50,2024-01-17,576.29,commercial,Chennai
50,2024-01-18,921.08,industrial,Mumbai
50,2024-01-19,364.78,residential,Hyderabad
50,2024-01-20,538.48,commercial,Chennai
50,2024-01-21,949.08,industrial,Mumbai
50,2024-01-22,378.78,residential,Hyderabad
50,2024-01-23,589.95,commercial,Chennai
50,2024-01-24,831.85,industrial,Mumbai
50,2024-01-25,370.82,residential,Hyderabad
50,2024-01-26,602.85,commercial,Chennai
50,2024-01-27,860.08,industrial,Mumbai
50,2024-01-28,430.46,residential,Hyderabad
50,2024-01-29,601.99,commercial,Chennai
50,2024-01-30,925.81,industrial,Mumbai
50,2024-01-31,425.31,residential,Hyderabad
50,2024-02-01,735.35,commercial,Chennai
50,2024-02-02,972.14,industrial,Mumbai
50,2024-02-03,440.88,residential,Hyderabad
50,2024-02-04,725.3,commercial,Chennai
50,2024-02-05,951.14,industrial,Mumbai
50,2024-02-06,513.99,residential,Hyderabad
50,2024-02-07,630.81,commercial,Chennai
50,2024-02-08,957.45,industrial,Mumbai
50,2024-02-09,517.63,residential,Hyderabad
50,2024-02-10,736.38,commercial,Chennai
50,2024-02-11,1008.87,industrial,Mumbai
50,2024-02-12,490.93,residential,Hyderabad
50,2024-02-13,675.74,commercial,Chennai
50,2024-02-14,919.96,industrial,Mumbai
50,2024-02-15,441.15,residential,Hyderabad
50,2024-02-16,642.34,commercial,Chennai
50,2024-02-17,994.31,industrial,Mumbai
50,2024-02-18,457.9,residential,Hyderabad
50,2024-02-19,567.02,commercial,Chennai
50,2024-02-20,945.49,industrial,Mumbai
50,2024-02-21,413.99,residential,Hyderabad
50,2024-02-22,601.23,commercial,Chennai
50,2024-02-23,953.84,industrial,Mumbai
50,2024-02-24,473.82,residential,Hyderabad
50,2024-02-25,675.1,commercial,Chennai
50,2024-02-26,911.42,industrial,Mumbai
50,2024-02-27,441.36,residential,Hyderabad
50,2024-02-28,676.98,commercial,Chennai
50,2024-02-29,1013.61,industrial,Mumbai
50,2024-03-01,466.71,residential,Hyderabad
50,2024-03-02,689.71,commercial,Chennai
50,2024-03-03,963.67,industrial,Mumbai
50,2024-03-04,469.95,residential,Hyderabad
50,2024-03-05,758.86,commercial,Chennai
50,2024-03-06,1087.51,industrial,Mumbai
50,2024-03-07,535.37,residential,Hyderabad
50,2024-03-08,781.28,commercial,Chennai
50,2024-03-09,1056.29,industrial,Mumbai
50,2024-03-10,514.5,residential,Hyderabad
50,2024-03-11,751.14,commercial,Chennai
50,2024-03-12,1092.66,industrial,Mumbai
50,2024-03-13,522.52,residential,Hyderabad
50,2024-03-14,778.03,commercial,Chennai
50,2024-03-15,901.23,industrial,Mumbai
50,2024-03-16,528.99,residential,Hyderabad
50,2024-03-17,689.66,commercial,Chennai
50,2024-03-18,964.71,industrial,Mumbai
50,2024-03-19,471.69,residential,Hyderabad
50,2024-03-20,581.12,commercial,Chennai
50,2024-03-21,946.04,industrial,Mumbai
50,2024-03-22,465.18,residential,Hyderabad
50,2024-03-23,708.12,commercial,Chennai
50,2024-03-24,928.54,industrial,Mumbai
50,2024-03-25,419.33,residential,Hyderabad
50,2024-03-26,636.05,commercial,Chennai
50,2024-03-27,999.05,industrial,Mumbai
50,2024-03-28,483.49,residential,Hyderabad
50,2024-03-29,658.32,commercial,Chennai
50,2024-03-30,1010.06,industrial,Mumbai
50,2024-03-31,503.86,residential,Hyderabad
50,2024-04-01,749.14,commercial,Chennai
50,2024-04-02,992.25,industrial,Mumbai
50,2024-04-03,516.24,residential,Hyderabad
50,2024-04-04,721.36,commercial,Chennai
